"id" "dose" "response"
1 0 3
1 0 1
1 0 1
1 0 1
1 0 1
1 0 1
1 0 1
1 0 1
2 0 1
2 0 1
2 0 1
2 0 1
2 0 1
2 0 1
2 0 1
2 0 1
2 0 1
2 0 1
2 0 1
2 0 1
2 0 1
2 0 1
3 0 1
3 0 1
3 0 1
3 0 1
3 0 1
3 0 1
3 0 1
3 0 1
3 0 1
3 0 1
3 0 1
3 0 1
3 0 1
4 0 1
4 0 1
4 0 1
4 0 1
4 0 1
4 0 1
4 0 1
4 0 1
4 0 1
4 0 1
5 0 2
5 0 1
5 0 1
5 0 1
5 0 1
5 0 1
5 0 1
5 0 1
5 0 1
5 0 1
5 0 1
5 0 1
5 0 1
5 0 1
5 0 1
5 0 1
6 0 3
6 0 1
6 0 1
6 0 1
6 0 1
6 0 1
6 0 1
6 0 1
6 0 1
6 0 1
6 0 1
6 0 1
6 0 1
6 0 1
6 0 1
7 0 3
7 0 1
7 0 1
7 0 1
7 0 1
7 0 1
7 0 1
7 0 1
7 0 1
7 0 1
7 0 1
8 0 1
8 0 1
8 0 1
8 0 1
8 0 1
8 0 1
8 0 1
8 0 1
8 0 1
8 0 1
8 0 1
8 0 1
9 0 1
9 0 1
9 0 1
9 0 1
9 0 1
9 0 1
9 0 1
9 0 1
9 0 1
9 0 1
9 0 1
10 0 1
10 0 1
10 0 1
10 0 1
10 0 1
10 0 1
10 0 1
10 0 1
11 0 3
11 0 1
11 0 1
11 0 1
11 0 1
11 0 1
11 0 1
12 0 1
12 0 1
12 0 1
12 0 1
12 0 1
12 0 1
12 0 1
12 0 1
12 0 1
12 0 1
12 0 1
12 0 1
12 0 1
12 0 1
12 0 1
13 0 1
13 0 1
13 0 1
13 0 1
13 0 1
13 0 1
13 0 1
13 0 1
13 0 1
13 0 1
13 0 1
13 0 1
14 0 1
14 0 1
14 0 1
14 0 1
14 0 1
14 0 1
14 0 1
14 0 1
14 0 1
14 0 1
14 0 1
14 0 1
15 0 1
15 0 1
15 0 1
15 0 1
15 0 1
15 0 1
15 0 1
15 0 1
15 0 1
15 0 1
15 0 1
15 0 1
15 0 1
16 0 1
16 0 1
16 0 1
16 0 1
16 0 1
16 0 1
16 0 1
16 0 1
16 0 1
16 0 1
17 0 1
17 0 1
17 0 1
17 0 1
17 0 1
17 0 1
17 0 1
17 0 1
17 0 1
17 0 1
18 0 3
18 0 1
18 0 1
18 0 1
18 0 1
18 0 1
18 0 1
18 0 1
18 0 1
18 0 1
18 0 1
18 0 1
19 0 1
19 0 1
19 0 1
19 0 1
19 0 1
19 0 1
19 0 1
19 0 1
19 0 1
19 0 1
19 0 1
19 0 1
20 0 1
20 0 1
20 0 1
20 0 1
20 0 1
20 0 1
20 0 1
20 0 1
20 0 1
20 0 1
20 0 1
20 0 1
20 0 1
21 0 3
21 0 1
21 0 1
21 0 1
21 0 1
21 0 1
21 0 1
21 0 1
21 0 1
21 0 1
21 0 1
21 0 1
21 0 1
21 0 1
21 0 1
22 0 1
22 0 1
22 0 1
22 0 1
22 0 1
22 0 1
22 0 1
22 0 1
22 0 1
22 0 1
22 0 1
22 0 1
22 0 1
23 0 1
23 0 1
23 0 1
23 0 1
23 0 1
23 0 1
23 0 1
23 0 1
23 0 1
23 0 1
23 0 1
23 0 1
23 0 1
24 0 3
24 0 1
24 0 1
24 0 1
24 0 1
24 0 1
24 0 1
24 0 1
24 0 1
24 0 1
24 0 1
24 0 1
24 0 1
24 0 1
24 0 1
25 0 1
25 0 1
25 0 1
25 0 1
25 0 1
25 0 1
25 0 1
25 0 1
25 0 1
25 0 1
25 0 1
25 0 1
25 0 1
25 0 1
26 0.75 2
26 0.75 2
26 0.75 2
26 0.75 1
26 0.75 1
26 0.75 1
26 0.75 1
26 0.75 1
26 0.75 1
26 0.75 1
27 0.75 3
27 0.75 2
27 0.75 2
27 0.75 2
27 0.75 1
27 0.75 1
27 0.75 1
27 0.75 1
27 0.75 1
27 0.75 1
27 0.75 1
27 0.75 1
27 0.75 1
27 0.75 1
27 0.75 1
28 0.75 2
28 0.75 2
28 0.75 1
28 0.75 1
28 0.75 1
28 0.75 1
28 0.75 1
28 0.75 1
28 0.75 1
28 0.75 1
28 0.75 1
29 0.75 1
29 0.75 1
29 0.75 1
29 0.75 1
29 0.75 1
29 0.75 1
29 0.75 1
29 0.75 1
29 0.75 1
29 0.75 1
29 0.75 1
29 0.75 1
30 0.75 2
30 0.75 1
30 0.75 1
30 0.75 1
30 0.75 1
30 0.75 1
30 0.75 1
30 0.75 1
30 0.75 1
30 0.75 1
30 0.75 1
30 0.75 1
31 0.75 2
31 0.75 2
31 0.75 2
31 0.75 1
31 0.75 1
31 0.75 1
31 0.75 1
31 0.75 1
31 0.75 1
31 0.75 1
31 0.75 1
31 0.75 1
31 0.75 1
32 0.75 1
32 0.75 1
32 0.75 1
32 0.75 1
32 0.75 1
32 0.75 1
32 0.75 1
32 0.75 1
32 0.75 1
32 0.75 1
32 0.75 1
32 0.75 1
32 0.75 1
32 0.75 1
32 0.75 1
33 0.75 1
33 0.75 1
33 0.75 1
33 0.75 1
33 0.75 1
33 0.75 1
33 0.75 1
33 0.75 1
33 0.75 1
33 0.75 1
33 0.75 1
34 0.75 3
34 0.75 3
34 0.75 1
34 0.75 1
34 0.75 1
34 0.75 1
34 0.75 1
34 0.75 1
34 0.75 1
34 0.75 1
35 0.75 2
35 0.75 1
35 0.75 1
35 0.75 1
35 0.75 1
35 0.75 1
35 0.75 1
35 0.75 1
35 0.75 1
35 0.75 1
35 0.75 1
35 0.75 1
36 0.75 1
36 0.75 1
36 0.75 1
36 0.75 1
36 0.75 1
36 0.75 1
36 0.75 1
36 0.75 1
36 0.75 1
36 0.75 1
37 0.75 2
37 0.75 1
37 0.75 1
37 0.75 1
37 0.75 1
37 0.75 1
37 0.75 1
37 0.75 1
37 0.75 1
37 0.75 1
37 0.75 1
37 0.75 1
37 0.75 1
37 0.75 1
38 0.75 2
38 0.75 1
38 0.75 1
38 0.75 1
38 0.75 1
38 0.75 1
38 0.75 1
38 0.75 1
38 0.75 1
38 0.75 1
39 0.75 1
39 0.75 1
39 0.75 1
39 0.75 1
39 0.75 1
39 0.75 1
39 0.75 1
39 0.75 1
39 0.75 1
39 0.75 1
39 0.75 1
39 0.75 1
39 0.75 1
39 0.75 1
40 0.75 3
40 0.75 2
40 0.75 1
40 0.75 1
40 0.75 1
40 0.75 1
40 0.75 1
40 0.75 1
40 0.75 1
40 0.75 1
40 0.75 1
40 0.75 1
40 0.75 1
41 0.75 2
41 0.75 1
41 0.75 1
41 0.75 1
41 0.75 1
41 0.75 1
41 0.75 1
41 0.75 1
41 0.75 1
41 0.75 1
42 0.75 2
42 0.75 1
42 0.75 1
42 0.75 1
42 0.75 1
42 0.75 1
42 0.75 1
42 0.75 1
42 0.75 1
42 0.75 1
42 0.75 1
43 0.75 1
43 0.75 1
43 0.75 1
43 0.75 1
43 0.75 1
43 0.75 1
43 0.75 1
43 0.75 1
43 0.75 1
43 0.75 1
43 0.75 1
43 0.75 1
43 0.75 1
43 0.75 1
43 0.75 1
44 0.75 1
44 0.75 1
44 0.75 1
44 0.75 1
44 0.75 1
44 0.75 1
44 0.75 1
44 0.75 1
44 0.75 1
44 0.75 1
44 0.75 1
44 0.75 1
44 0.75 1
44 0.75 1
44 0.75 1
45 0.75 2
45 0.75 2
45 0.75 2
45 0.75 1
45 0.75 1
45 0.75 1
45 0.75 1
45 0.75 1
45 0.75 1
45 0.75 1
45 0.75 1
45 0.75 1
45 0.75 1
46 0.75 2
46 0.75 2
46 0.75 1
46 0.75 1
46 0.75 1
46 0.75 1
46 0.75 1
47 0.75 2
47 0.75 1
47 0.75 1
47 0.75 1
47 0.75 1
47 0.75 1
47 0.75 1
47 0.75 1
47 0.75 1
47 0.75 1
47 0.75 1
47 0.75 1
48 0.75 2
48 0.75 1
48 0.75 1
48 0.75 1
48 0.75 1
48 0.75 1
48 0.75 1
49 0.75 3
49 0.75 2
49 0.75 1
49 0.75 1
49 0.75 1
49 0.75 1
49 0.75 1
49 0.75 1
49 0.75 1
49 0.75 1
50 1.5 2
50 1.5 2
50 1.5 2
50 1.5 2
50 1.5 2
50 1.5 2
50 1.5 2
50 1.5 2
50 1.5 1
50 1.5 1
51 1.5 2
51 1.5 2
51 1.5 2
51 1.5 2
51 1.5 2
51 1.5 2
51 1.5 1
51 1.5 1
51 1.5 1
51 1.5 1
51 1.5 1
52 1.5 2
52 1.5 2
52 1.5 2
52 1.5 2
52 1.5 2
52 1.5 1
52 1.5 1
52 1.5 1
52 1.5 1
52 1.5 1
52 1.5 1
52 1.5 1
53 1.5 2
53 1.5 2
53 1.5 2
53 1.5 2
53 1.5 2
53 1.5 2
53 1.5 2
53 1.5 2
53 1.5 2
53 1.5 2
53 1.5 2
53 1.5 1
53 1.5 1
54 1.5 3
54 1.5 2
54 1.5 2
54 1.5 2
54 1.5 2
54 1.5 2
54 1.5 2
54 1.5 1
54 1.5 1
54 1.5 1
55 1.5 2
55 1.5 2
55 1.5 2
55 1.5 2
55 1.5 2
55 1.5 2
55 1.5 2
55 1.5 1
55 1.5 1
55 1.5 1
55 1.5 1
55 1.5 1
55 1.5 1
56 1.5 1
57 1.5 2
57 1.5 2
57 1.5 2
57 1.5 1
57 1.5 1
57 1.5 1
57 1.5 1
57 1.5 1
57 1.5 1
57 1.5 1
57 1.5 1
58 1.5 2
58 1.5 2
58 1.5 2
58 1.5 2
58 1.5 2
58 1.5 2
58 1.5 2
58 1.5 2
58 1.5 1
58 1.5 1
58 1.5 1
59 1.5 2
59 1.5 2
59 1.5 1
59 1.5 1
59 1.5 1
59 1.5 1
59 1.5 1
59 1.5 1
59 1.5 1
59 1.5 1
59 1.5 1
59 1.5 1
59 1.5 1
59 1.5 1
60 1.5 2
60 1.5 1
60 1.5 1
60 1.5 1
60 1.5 1
60 1.5 1
60 1.5 1
60 1.5 1
60 1.5 1
60 1.5 1
60 1.5 1
60 1.5 1
60 1.5 1
61 1.5 2
61 1.5 2
61 1.5 2
61 1.5 2
61 1.5 2
61 1.5 2
61 1.5 2
61 1.5 2
61 1.5 2
61 1.5 2
61 1.5 1
61 1.5 1
61 1.5 1
61 1.5 1
61 1.5 1
62 1.5 2
62 1.5 2
62 1.5 2
62 1.5 2
62 1.5 2
62 1.5 1
62 1.5 1
62 1.5 1
62 1.5 1
62 1.5 1
62 1.5 1
63 1.5 2
63 1.5 1
63 1.5 1
63 1.5 1
63 1.5 1
63 1.5 1
63 1.5 1
63 1.5 1
63 1.5 1
63 1.5 1
63 1.5 1
63 1.5 1
64 1.5 2
64 1.5 2
64 1.5 2
64 1.5 1
64 1.5 1
64 1.5 1
64 1.5 1
64 1.5 1
64 1.5 1
64 1.5 1
64 1.5 1
64 1.5 1
64 1.5 1
65 1.5 1
65 1.5 1
65 1.5 1
65 1.5 1
65 1.5 1
65 1.5 1
65 1.5 1
65 1.5 1
65 1.5 1
65 1.5 1
65 1.5 1
65 1.5 1
65 1.5 1
66 1.5 2
66 1.5 2
66 1.5 2
66 1.5 2
66 1.5 2
66 1.5 2
66 1.5 1
67 1.5 2
67 1.5 2
67 1.5 1
67 1.5 1
67 1.5 1
67 1.5 1
67 1.5 1
67 1.5 1
68 1.5 2
68 1.5 1
68 1.5 1
69 1.5 1
69 1.5 1
69 1.5 1
69 1.5 1
69 1.5 1
69 1.5 1
69 1.5 1
70 1.5 2
70 1.5 2
70 1.5 2
70 1.5 2
70 1.5 1
70 1.5 1
70 1.5 1
70 1.5 1
70 1.5 1
70 1.5 1
71 1.5 1
71 1.5 1
71 1.5 1
71 1.5 1
71 1.5 1
71 1.5 1
71 1.5 1
71 1.5 1
71 1.5 1
71 1.5 1
71 1.5 1
71 1.5 1
72 3 2
72 3 2
72 3 2
72 3 2
72 3 1
72 3 1
72 3 1
73 3 3
73 3 2
73 3 2
73 3 2
73 3 2
73 3 2
73 3 2
73 3 2
73 3 2
73 3 2
73 3 1
74 3 2
74 3 2
74 3 2
74 3 2
74 3 1
74 3 1
74 3 1
74 3 1
74 3 1
74 3 1
74 3 1
74 3 1
75 3 3
75 3 2
75 3 2
75 3 2
75 3 2
75 3 2
75 3 2
75 3 2
75 3 2
75 3 2
75 3 2
75 3 2
76 3 2
76 3 2
76 3 2
76 3 2
76 3 2
76 3 2
76 3 2
76 3 1
76 3 1
76 3 1
77 3 2
77 3 2
77 3 2
77 3 2
77 3 2
77 3 2
77 3 2
77 3 2
77 3 2
77 3 1
78 3 2
78 3 2
78 3 2
78 3 1
79 3 2
79 3 2
79 3 2
79 3 2
79 3 2
79 3 2
79 3 2
80 3 2
80 3 1
80 3 1
80 3 1
81 3 2
81 3 2
81 3 2
81 3 2
81 3 2
81 3 2
81 3 2
81 3 2
81 3 2
81 3 2
81 3 2
81 3 2
82 3 3
82 3 3
82 3 2
82 3 2
82 3 2
82 3 2
82 3 2
82 3 2
82 3 2
82 3 2
82 3 2
82 3 2
82 3 2
82 3 2
83 3 2
83 3 2
83 3 2
83 3 2
83 3 2
83 3 2
83 3 2
83 3 2
83 3 2
83 3 2
83 3 2
83 3 1
83 3 1
83 3 1
84 3 2
84 3 2
84 3 2
84 3 2
84 3 2
84 3 1
84 3 1
84 3 1
84 3 1
84 3 1
84 3 1
85 3 2
85 3 2
85 3 2
85 3 2
85 3 1
85 3 1
85 3 1
85 3 1
85 3 1
85 3 1
85 3 1
85 3 1
86 3 2
86 3 2
86 3 2
86 3 2
86 3 2
86 3 1
86 3 1
86 3 1
86 3 1
86 3 1
86 3 1
86 3 1
87 3 3
87 3 3
87 3 2
87 3 2
87 3 2
87 3 1
87 3 1
87 3 1
87 3 1
87 3 1
87 3 1
87 3 1
87 3 1
87 3 1
88 3 2
88 3 2
88 3 2
88 3 2
88 3 2
88 3 2
88 3 2
88 3 2
88 3 2
88 3 1
89 3 1
89 3 1
89 3 1
89 3 1
89 3 1
89 3 1
89 3 1
89 3 1
89 3 1
90 3 2
90 3 2
90 3 2
90 3 2
90 3 2
90 3 1
90 3 1
90 3 1
90 3 1
91 3 2
91 3 2
91 3 1
91 3 1
91 3 1
91 3 1
91 3 1
92 3 3
92 3 2
92 3 2
92 3 2
92 3 1
92 3 1
92 3 1
92 3 1
92 3 1
92 3 1
92 3 1
92 3 1
92 3 1
93 3 2
93 3 2
93 3 1
93 3 1
93 3 1
93 3 1
93 3 1
94 3 2
94 3 1
94 3 1
94 3 1
94 3 1
94 3 1
94 3 1
94 3 1
94 3 1
94 3 1
94 3 1
94 3 1
