id,dose,total,alive,y,y_notnormal,y_normal,y_malform,y_dead,z2,z3,z4,dose2,dosesqrt
1,0,8,7,7,1,7,0,1,0,0,0,0,0
2,0,14,14,14,0,14,0,0,0,0,0,0,0
3,0,13,13,13,0,13,0,0,0,0,0,0,0
4,0,10,10,10,0,10,0,0,0,0,0,0,0
5,0,16,16,15,1,15,1,0,0,0,0,0,0
6,0,15,14,14,1,14,0,1,0,0,0,0,0
7,0,11,10,10,1,10,0,1,0,0,0,0,0
8,0,12,12,12,0,12,0,0,0,0,0,0,0
9,0,11,11,11,0,11,0,0,0,0,0,0,0
10,0,8,8,8,0,8,0,0,0,0,0,0,0
11,0,7,6,6,1,6,0,1,0,0,0,0,0
12,0,15,15,15,0,15,0,0,0,0,0,0,0
13,0,12,12,12,0,12,0,0,0,0,0,0,0
14,0,12,12,12,0,12,0,0,0,0,0,0,0
15,0,13,13,13,0,13,0,0,0,0,0,0,0
16,0,10,10,10,0,10,0,0,0,0,0,0,0
17,0,10,10,10,0,10,0,0,0,0,0,0,0
18,0,12,11,11,1,11,0,1,0,0,0,0,0
19,0,12,12,12,0,12,0,0,0,0,0,0,0
20,0,13,13,13,0,13,0,0,0,0,0,0,0
21,0,15,14,14,1,14,0,1,0,0,0,0,0
22,0,13,13,13,0,13,0,0,0,0,0,0,0
23,0,13,13,13,0,13,0,0,0,0,0,0,0
24,0,15,14,14,1,14,0,1,0,0,0,0,0
25,0,14,14,14,0,14,0,0,0,0,0,0,0
26,0.75,10,10,7,3,7,3,0,1,0,0,0.5625,0.8660254038
27,0.75,15,14,11,4,11,3,1,1,0,0,0.5625,0.8660254038
28,0.75,11,11,9,2,9,2,0,1,0,0,0.5625,0.8660254038
29,0.75,12,12,12,0,12,0,0,1,0,0,0.5625,0.8660254038
30,0.75,12,12,11,1,11,1,0,1,0,0,0.5625,0.8660254038
31,0.75,13,13,10,3,10,3,0,1,0,0,0.5625,0.8660254038
32,0.75,15,15,15,0,15,0,0,1,0,0,0.5625,0.8660254038
33,0.75,11,11,11,0,11,0,0,1,0,0,0.5625,0.8660254038
34,0.75,10,8,8,2,8,0,2,1,0,0,0.5625,0.8660254038
35,0.75,12,12,11,1,11,1,0,1,0,0,0.5625,0.8660254038
36,0.75,10,10,10,0,10,0,0,1,0,0,0.5625,0.8660254038
37,0.75,14,14,13,1,13,1,0,1,0,0,0.5625,0.8660254038
38,0.75,10,10,9,1,9,1,0,1,0,0,0.5625,0.8660254038
39,0.75,14,14,14,0,14,0,0,1,0,0,0.5625,0.8660254038
40,0.75,13,12,11,2,11,1,1,1,0,0,0.5625,0.8660254038
41,0.75,10,10,9,1,9,1,0,1,0,0,0.5625,0.8660254038
42,0.75,11,11,10,1,10,1,0,1,0,0,0.5625,0.8660254038
43,0.75,15,15,15,0,15,0,0,1,0,0,0.5625,0.8660254038
44,0.75,15,15,15,0,15,0,0,1,0,0,0.5625,0.8660254038
45,0.75,13,13,10,3,10,3,0,1,0,0,0.5625,0.8660254038
46,0.75,7,7,5,2,5,2,0,1,0,0,0.5625,0.8660254038
47,0.75,12,12,11,1,11,1,0,1,0,0,0.5625,0.8660254038
48,0.75,7,7,6,1,6,1,0,1,0,0,0.5625,0.8660254038
49,0.75,10,9,8,2,8,1,1,1,0,0,0.5625,0.8660254038
50,1.5,10,10,2,8,2,8,0,0,1,0,2.25,1.2247448714
51,1.5,11,11,5,6,5,6,0,0,1,0,2.25,1.2247448714
52,1.5,12,12,7,5,7,5,0,0,1,0,2.25,1.2247448714
53,1.5,13,13,2,11,2,11,0,0,1,0,2.25,1.2247448714
54,1.5,10,9,3,7,3,6,1,0,1,0,2.25,1.2247448714
55,1.5,13,13,6,7,6,7,0,0,1,0,2.25,1.2247448714
56,1.5,1,1,1,0,1,0,0,0,1,0,2.25,1.2247448714
57,1.5,11,11,8,3,8,3,0,0,1,0,2.25,1.2247448714
58,1.5,11,11,3,8,3,8,0,0,1,0,2.25,1.2247448714
59,1.5,14,14,12,2,12,2,0,0,1,0,2.25,1.2247448714
60,1.5,13,13,12,1,12,1,0,0,1,0,2.25,1.2247448714
61,1.5,15,15,5,10,5,10,0,0,1,0,2.25,1.2247448714
62,1.5,11,11,6,5,6,5,0,0,1,0,2.25,1.2247448714
63,1.5,12,12,11,1,11,1,0,0,1,0,2.25,1.2247448714
64,1.5,13,13,10,3,10,3,0,0,1,0,2.25,1.2247448714
65,1.5,13,13,13,0,13,0,0,0,1,0,2.25,1.2247448714
66,1.5,7,7,1,6,1,6,0,0,1,0,2.25,1.2247448714
